urn:cts:greekLit:tlg5026.msA.hmt:1.418	urn:cite:hmt:pers.pers16
urn:cts:greekLit:tlg5026.msA.hmt:1.418	urn:cite:hmt:pers.pers17
urn:cts:greekLit:tlg5026.msA.hmt:1.418	urn:cite:hmt:pers.pers75
urn:cts:greekLit:tlg5026.msA.hmt:1.420	urn:cite:hmt:pers.pers1
urn:cts:greekLit:tlg5026.msA.hmt:1.420	urn:cite:hmt:pers.pers2
urn:cts:greekLit:tlg5026.msA.hmt:1.421	urn:cite:hmt:pers.pers22
urn:cts:greekLit:tlg5026.msA.hmt:1.422	urn:cite:hmt:pers.pers16
urn:cts:greekLit:tlg5026.msA.hmt:1.422	urn:cite:hmt:pers.pers75
urn:cts:greekLit:tlg5026.msA.hmt:1.425	urn:cite:hmt:pers.pers15
urn:cts:greekLit:tlg5026.msA.hmt:1.425	urn:cite:hmt:pers.pers44
urn:cts:greekLit:tlg5026.msA.hmt:1.427	urn:cite:hmt:pers.pers1
urn:cts:greekLit:tlg5026.msA.hmt:1.427	urn:cite:hmt:pers.pers22
urn:cts:greekLit:tlg5026.msA.hmt:1.427	urn:cite:hmt:pers.pers22
urn:cts:greekLit:tlg5026.msA.hmt:1.428	urn:cite:hmt:pers.pers109
urn:cts:greekLit:tlg5026.msA.hmt:1.479	urn:cite:hmt:pers.pers16
urn:cts:greekLit:tlg5026.msA.hmt:1.480	urn:cite:hmt:pers.pers15
urn:cts:greekLit:tlg5026.msA.hmt:1.480	urn:cite:hmt:pers.pers220
urn:cts:greekLit:tlg5026.msA.hmt:1.486	urn:cite:hmt:pers.pers16
urn:cts:greekLit:tlg5026.msA.hmt:1.550	urn:cite:hmt:pers.pers8
urn:cts:greekLit:tlg5026.msA.hmt:1.550	urn:cite:hmt:pers.pers4
urn:cts:greekLit:tlg5026.msA.hmt:1.552	urn:cite:hmt:pers.pers130
urn:cts:greekLit:tlg5026.msA.hmt:1.552	urn:cite:hmt:pers.pers132
urn:cts:greekLit:tlg5026.msA.hmt:1.552	urn:cite:hmt:pers.pers8
urn:cts:greekLit:tlg5026.msA.hmt:1.552	urn:cite:hmt:pers.pers131
urn:cts:greekLit:tlg5026.msA.hmt:1.552	urn:cite:hmt:pers.pers132
urn:cts:greekLit:tlg5026.msA.hmt:1.552	urn:cite:hmt:pers.pers133
urn:cts:greekLit:tlg5026.msA.hmt:1.552	urn:cite:hmt:pers.pers8
urn:cts:greekLit:tlg5026.msA.hmt:1.552	urn:cite:hmt:pers.pers130
urn:cts:greekLit:tlg5026.msA.hmt:1.552	urn:cite:hmt:pers.pers131
urn:cts:greekLit:tlg5026.msA.hmt:1.552	urn:cite:hmt:pers.pers8
urn:cts:greekLit:tlg5026.msA.hmt:1.552	urn:cite:hmt:pers.pers131
urn:cts:greekLit:tlg5026.msA.hmt:1.552	urn:cite:hmt:pers.pers8
urn:cts:greekLit:tlg5026.msA.hmt:1.555	urn:cite:hmt:pers.pers22
urn:cts:greekLit:tlg5026.msA.hmt:1.559	urn:cite:hmt:pers.pers67
urn:cts:greekLit:tlg5026.msA.hmt:1.560	urn:cite:hmt:pers.pers67
urn:cts:greekLit:tlg5026.msA.hmt:1.560	urn:cite:hmt:pers.pers135
urn:cts:greekLit:tlg5026.msA.hmt:1.560	urn:cite:hmt:pers.pers67
